28,tt0016039,2016-05-04,2016-05-04,,The Lost World,https://www.imdb.com/title/tt0016039/,movie,7.0,110,1925,"Adventure, Fantasy, Sci-Fi, Thriller",4593,1925-02-02,Harry O. Hoyt
29,tt0023935,2016-05-04,2016-05-04,,The Death Kiss,https://www.imdb.com/title/tt0023935/,movie,6.1,75,1932,"Comedy, Crime, Drama, Mystery, Romance",954,1932-12-05,Edwin L. Marin
30,tt0017739,2016-05-04,2016-05-04,,The Cat and the Canary,https://www.imdb.com/title/tt0017739/,movie,7.1,108,1927,"Comedy, Horror, Mystery",2695,1927-08-14,Paul Leni
31,tt0025169,2016-05-04,2016-05-04,,The Ghost Walks,https://www.imdb.com/title/tt0025169/,movie,5.8,69,1934,"Comedy, Mystery, Thriller",417,1934-12-01,Frank R. Strayer
32,tt0006333,2016-05-04,2016-05-04,,"20,000 Leagues Under the Sea",https://www.imdb.com/title/tt0006333/,movie,6.2,105,1916,"Action, Adventure, Sci-Fi",1522,1916-12-24,Stuart Paton
33,tt0025712,2016-05-04,2016-05-04,,The Return of Chandu,https://www.imdb.com/title/tt0025712/,movie,6.0,65,1934,"Adventure, Fantasy, Horror",286,1934-10-01,Ray Taylor
34,tt0025465,2016-05-04,2016-05-04,,Maniac,https://www.imdb.com/title/tt0025465/,movie,3.7,51,1934,Horror,2120,1934-09-11,Dwain Esper
35,tt0024727,2016-05-04,2016-05-04,,The Vampire Bat,https://www.imdb.com/title/tt0024727/,movie,5.7,65,1933,"Drama, Horror, Mystery, Romance, Sci-Fi",2210,1933-01-20,Frank R. Strayer
36,tt0023528,2016-05-04,2016-05-04,,Strangers of the Evening,https://www.imdb.com/title/tt0023528/,movie,5.1,70,1932,"Comedy, Mystery",188,1932-05-15,H. Bruce Humberstone
37,tt0023236,2016-05-04,2016-05-04,,The Monster Walks,https://www.imdb.com/title/tt0023236/,movie,4.1,63,1932,"Horror, Mystery",809,1932-02-07,Frank R. Strayer
38,tt0022265,2016-05-04,2016-05-04,,The Phantom,https://www.imdb.com/title/tt0022265/,movie,4.4,62,1931,"Horror, Thriller",278,1931-11-01,Alan James
39,tt0001223,2016-05-04,2016-05-04,,Frankenstein,https://www.imdb.com/title/tt0001223/,short,6.4,16,1910,"Short, Fantasy, Horror, Sci-Fi",3660,1910-03-18,J. Searle Dawley
40,tt0016220,2016-05-04,2016-05-04,,The Phantom of the Opera,https://www.imdb.com/title/tt0016220/,movie,7.6,93,1925,Horror,16548,1925-01-07,"Rupert Julian, Ernst Laemmle, Lon Chaney, Edward Sedgwick"
41,tt0010323,2016-05-04,2016-05-04,[red]Watch Now[/red]: [link=http://www.imdb.com/title/tt0010323/externalsites?ref_=tt_ql_rel_3#videos]IMDb-provided Internet Archive Link[/link].,Das Cabinet des Dr. Caligari,https://www.imdb.com/title/tt0010323/,movie,8.1,76,1920,"Fantasy, Horror, Mystery, Thriller",56671,1920-02-26,Robert Wiene
42,tt0023694,2016-05-04,2016-05-04,[red]Watch Now[/red]: [link=http://www.imdb.com/title/tt0023694/externalsites?ref_=tt_ql_rel_3#videos]IMDb-provided Internet Archive Link[/link].,White Zombie,https://www.imdb.com/title/tt0023694/,movie,6.3,69,1932,Horror,9230,1932-07-28,Victor Halperin
43,tt0016545,2016-05-04,2016-05-04,[red]Watch Now[/red]: [link=http://www.imdb.com/title/tt0016545/externalsites?ref_=tt_ql_rel_3#videos]IMDb-provided Internet Archive Link[/link].,Wolfblood,https://www.imdb.com/title/tt0016545/,movie,5.8,68,1925,"Adventure, Drama, Romance, Western",246,1925-07-16,"George Chesebro, Bruce Mitchell"
44,tt0025075,2016-05-04,2016-05-04,[red]Watch Now[/red]: [link=http://www.imdb.com/title/tt0025075/externalsites?ref_=tt_ql_rel_3#videos]IMDb-provided Internet Archive Link[/link].,The Beast of Borneo,https://www.imdb.com/title/tt0025075/,movie,3.5,63,1934,"Adventure, Comedy, Drama, Horror, Romance",112,1934-04-14,Harry Garson
45,tt0173114,2016-05-04,2016-05-04,[red]Watch Now[/red]: [link=http://www.imdb.com/title/tt0173114/externalsites?ref_=tt_ql_rel_3#videos]IMDb-provided Internet Archive Link[/link].,The Rawhide Terror,https://www.imdb.com/title/tt0173114/,movie,3.4,52,1934,"Action, Drama, Horror, Romance, Western",123,1934-12-02,"Jack Nelson, Bruce Mitchell"
46,tt0023247,2016-05-04,2016-05-04,[red]Watch Now[/red]: [link=http://www.imdb.com/title/tt0023247/externalsites?ref_=tt_ql_rel_3#videos]IMDb-provided Internet Archive Link[/link].,Murder at Dawn,https://www.imdb.com/title/tt0023247/,movie,4.7,62,1932,"Crime, Drama, Horror, Mystery",108,1932-02-15,Richard Thorpe
47,tt0025271,2016-05-04,2016-05-04,[red]Watch Now[/red]: [link=http://www.imdb.com/title/tt0025271/externalsites?ref_=tt_ql_rel_3#videos]IMDb-provided Internet Archive Link[/link].,House of Mystery,https://www.imdb.com/title/tt0025271/,movie,4.9,62,1934,"Horror, Mystery",266,1934-03-30,William Nigh
48,tt0014142,2016-05-04,2016-05-04,,The Hunchback of Notre Dame,https://www.imdb.com/title/tt0014142/,movie,7.2,133,1923,"Drama, Horror, Romance",4790,1923-09-02,Wallace Worsley
49,tt0013257,2016-05-04,2016-05-04,[red]Watch Now[/red]: [link=http://www.imdb.com/title/tt0013257/externalsites?ref_=tt_ql_rel_3#videos]IMDb-provided Internet Archive Link[/link].,H�xan,https://www.imdb.com/title/tt0013257/,movie,7.7,91,1922,"Documentary, Fantasy, History, Horror",12221,1922-09-18,Benjamin Christensen
50,tt0223755,2016-05-04,2016-05-04,[red]Watch Now[/red]: [link=http://www.imdb.com/title/tt0223755/externalsites?ref_=tt_ql_rel_3#videos]IMDb-provided Public Domain Review Link[/link].,Le monstre,https://www.imdb.com/title/tt0223755/,short,6.3,3,1903,"Short, Fantasy, Horror",1041,1903-08-15,Georges M�li�s
51,tt0000091,2016-05-04,2016-05-04,[red]Watch Now[/red]: [link=http://www.imdb.com/title/tt0000091/externalsites?ref_=tt_ql_rel_3#videos]IMDb-provided Internet Archive Link[/link].,Le manoir du diable,https://www.imdb.com/title/tt0000091/,short,6.7,3,1896,"Short, Horror",2868,1896-12-24,Georges M�li�s
52,tt0023333,2016-05-04,2016-05-04,,The Phantom Express,https://www.imdb.com/title/tt0023333/,movie,5.3,70,1932,"Mystery, Thriller",171,1932-08-15,Emory Johnson
53,tt0025748,2016-05-04,2016-05-04,,The Scarlet Pimpernel,https://www.imdb.com/title/tt0025748/,movie,7.4,97,1934,"Adventure, Drama",3804,1934-12-20,Harold Young
54,tt0011439,2016-05-04,2016-05-04,[red]Watch Now[/red]: [link=http://www.imdb.com/title/tt0011439/externalsites?ref_=tt_ql_rel_3#videos]IMDb-provided Internet Archive Link[/link].,The Mark of Zorro,https://www.imdb.com/title/tt0011439/,movie,7.1,79,1920,"Adventure, Romance, Western",2179,1920-11-27,Fred Niblo
55,tt0007194,2016-05-04,2016-05-04,,Police,https://www.imdb.com/title/tt0007194/,short,6.5,34,1916,"Comedy, Short",1572,1916-03-27,Charles Chaplin
56,tt0001463,2016-05-04,2016-05-04,,The Wonderful Wizard of Oz,https://www.imdb.com/title/tt0001463/,short,5.7,13,1910,"Adventure, Fantasy, Short",1365,1910-03-24,Otis Turner
57,tt0007613,2016-05-04,2016-05-04,,The Adventurer,https://www.imdb.com/title/tt0007613/,short,7.4,24,1917,"Comedy, Short",3558,1917-10-22,Charles Chaplin
58,tt0025969,2016-05-04,2016-05-04,,West of the Divide,https://www.imdb.com/title/tt0025969/,movie,5.3,54,1934,"Action, Adventure, Romance, Western",803,1934-02-15,Robert N. Bradbury
59,tt0012224,2016-05-04,2016-05-04,,The Goat,https://www.imdb.com/title/tt0012224/,short,7.7,23,1921,"Comedy, Short",3783,1921-05-15,"Malcolm St. Clair, Buster Keaton"
60,tt0012675,2016-05-04,2016-05-04,,The Sheik,https://www.imdb.com/title/tt0012675/,movie,6.4,86,1921,"Adventure, Drama, Romance",3078,1921-10-30,George Melford
61,tt0019421,2016-05-04,2016-05-04,,"Steamboat Bill, Jr.",https://www.imdb.com/title/tt0019421/,movie,7.9,70,1928,"Action, Comedy, Drama, Family, Romance",13047,1928-04-05,"Charles Reisner, Buster Keaton"
62,tt0009620,2016-05-04,2016-05-04,,The Sinking of the 'Lusitania',https://www.imdb.com/title/tt0009620/,short,6.8,12,1918,"Animation, Short, War",1012,1918-07-20,Winsor McCay
63,tt0024625,2016-05-04,2016-05-04,,A Study in Scarlet,https://www.imdb.com/title/tt0024625/,movie,5.7,72,1933,"Mystery, Thriller",816,1933-05-14,Edwin L. Marin
64,tt0000439,2016-05-04,2016-05-04,[red]Watch Now[/red]: [link=http://www.imdb.com/title/tt0000439/externalsites?ref_=tt_ql_rel_3#videos]IMDb-provided Library of Congress: American Memory Link[/link].,The Great Train Robbery,https://www.imdb.com/title/tt0000439/,short,7.3,11,1903,"Short, Action, Crime, Western",17115,1903-12-07,Edwin S. Porter
65,tt0022418,2016-05-04,2016-05-04,,The Speckled Band,https://www.imdb.com/title/tt0022418/,movie,5.5,90,1931,"Crime, Drama, Mystery, Romance, Thriller",220,1931-03-05,Jack Raymond
66,tt0004873,2016-05-04,2016-05-04,,Alice in Wonderland,https://www.imdb.com/title/tt0004873/,movie,6.2,52,1915,"Adventure, Family, Fantasy",402,1915-01-19,W.W. Young
67,tt0026104,2016-05-04,2016-05-04,,Becky Sharp,https://www.imdb.com/title/tt0026104/,movie,5.9,84,1935,"Drama, Romance, War",886,1935-06-13,"Lowell Sherman, Rouben Mamoulian"
68,tt0025335,2016-05-04,2016-05-04,,Judge Priest,https://www.imdb.com/title/tt0025335/,movie,6.3,80,1934,"Comedy, Drama, Romance",1938,1934-09-15,John Ford
69,tt0022373,2016-05-04,2016-05-04,,The Sleeping Cardinal,https://www.imdb.com/title/tt0022373/,movie,6.0,84,1931,"Crime, Mystery",324,1931-02-28,Leslie S. Hiscott
70,tt0010208,2016-05-04,2016-05-04,,Harakiri,https://www.imdb.com/title/tt0010208/,movie,5.7,80,1919,Drama,560,1919-12-18,Fritz Lang
71,tt0023424,2016-05-04,2016-05-04,,The Savage Girl,https://www.imdb.com/title/tt0023424/,movie,4.4,66,1932,"Adventure, Comedy",184,1932-12-05,Harry L. Fraser
72,tt0005339,2016-05-04,2016-05-04,,A Fool There Was,https://www.imdb.com/title/tt0005339/,movie,5.8,67,1915,Drama,790,1915-01-12,Frank Powell
73,tt0009968,2016-05-04,2016-05-04,,Broken Blossoms or The Yellow Man and the Girl,https://www.imdb.com/title/tt0009968/,movie,7.3,90,1919,"Drama, Romance",9362,1919-05-13,D.W. Griffith
74,tt0007507,2016-05-04,2016-05-04,,The Vagabond,https://www.imdb.com/title/tt0007507/,short,6.9,34,1916,"Short, Comedy, Romance",2525,1916-07-10,Charles Chaplin
75,tt0024473,2016-05-04,2016-05-04,,The Private Life of Henry VIII.,https://www.imdb.com/title/tt0024473/,movie,7.1,97,1933,"Biography, Comedy, Drama, History, Romance",3641,1933-08-17,Alexander Korda
76,tt0011565,2016-05-04,2016-05-04,,The Penalty,https://www.imdb.com/title/tt0011565/,movie,7.4,90,1920,"Crime, Drama, Horror, Thriller",2036,1920-07-30,Wallace Worsley
77,tt0011865,2016-05-04,2016-05-04,,Why Change Your Wife?,https://www.imdb.com/title/tt0011865/,movie,6.7,90,1920,"Comedy, Drama",1331,1920-02-29,Cecil B. DeMille
